UIAutomation 2.0.20 (Python 3.12.5, 64 bit)
2024-09-24 09:32:44.569 automation.py[79] main -> Starts, Current Cursor Position: (35, -555)
                                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,435,1527,499)[225x64]    Name:     Handle: 0x0(0)    Depth: 11    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1314,447,1354,487)[40x40]    Name: 小禾    Handle: 0x0(0)    Depth: 12    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,447,1515,489)[151x42]    Name:     Handle: 0x0(0)    Depth: 12    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,447,1515,471)[151x24]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,447,1476,471)[112x24]    Name: 小禾    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name:     Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1476,447,1515,471)[39x24]    Name: 星期天    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,471,1515,489)[151x18]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,471,1505,489)[141x18]    Name: 现在只剩下5分钟来    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1302,499,1527,563)[225x64]    Name: BlackBox    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    ValuePattern.Value: '[不支持类型消息]'    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern SelectionItemPattern ValuePattern
                                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,499,1527,563)[225x64]    Name:     Handle: 0x0(0)    Depth: 11    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
